Code,Variable Name,Overhead,PVF Reduction
DGEMM,block,0.00%,0.28%
DGEMM,file2,0.00%,0.07%
DGEMM,order,0.00%,10.77%
DGEMM,A,0.00%,1.48%
DGEMM,B,0.00%,1.48%
DGEMM,file,0.00%,0.21%
DGEMM,jj,0.00%,1.04%
DGEMM,kk,0.00%,3.87%
DGEMM,ii,0.01%,5.11%
DGEMM,BB,0.12%,4.94%
DGEMM,A,0.12%,1.66%
DGEMM,B,0.12%,1.21%
DGEMM,M,0.12%,0.28%
DGEMM,i,0.12%,2.59%
DGEMM,i,0.12%,0.35%
DGEMM,j,0.12%,1.28%
DGEMM,j,0.12%,0.24%
DGEMM,j,0.12%,0.07%
DGEMM,C,0.12%,10.77%
DGEMM,jg,0.26%,5.11%
DGEMM,k,0.62%,2.90%
DGEMM,kg,0.62%,5.76%
DGEMM,C,4.54%,22.06%
DGEMM,j,4.78%,2.76%
DGEMM,AA,7.73%,0.10%
DGEMM,CC,15.38%,4.49%
DGEMM,i,32.42%,3.31%
DGEMM,ig,32.42%,5.83%
,,,
HotSpot,result,74.10%,3.78%
HotSpot,r,16.85%,0.07%
HotSpot,i,2.58%,1.43%
HotSpot,vect,2.58%,4.56%
HotSpot,val,2.58%,0.39%
HotSpot,j,1.29%,1.43%
HotSpot,i,0.00%,1.76%
HotSpot,i,0.00%,6.12%
HotSpot,r,0.00%,2.67%
HotSpot,t,0.00%,2.67%
HotSpot,fp,0.00%,1.37%
HotSpot,grid_cols,0.00%,15.96%
HotSpot,grid_rows,0.00%,22.93%
HotSpot,sim_time,0.00%,7.23%
HotSpot,power,0.00%,1.63%
HotSpot,temp,0.00%,15.50%
HotSpot,num_omp_threads,0.00%,6.84%
HotSpot,result,0.00%,3.65%
,,,
LavaMD,file,0.00%,2.62%
LavaMD,d,76.96%,4.37%
LavaMD,dim_cpu,0.00%,2.04%
LavaMD,fv_cpu,11.33%,16.03%
LavaMD,n,0.34%,1.75%
LavaMD,rv_cpu,3.78%,12.24%
LavaMD,qv,0.22%,17.20%
LavaMD,rv,0.23%,14.87%
LavaMD,j,0.00%,0.87%
LavaMD,qv_cpu,0.94%,7.00%
LavaMD,fv,0.01%,9.62%
LavaMD,i,4.72%,4.96%
LavaMD,par_cpu,0.00%,4.37%
LavaMD,box_cpu,1.33%,0.58%
LavaMD,k,0.01%,0.58%
LavaMD,m,0.11%,0.58%
LavaMD,nh,0.01%,0.29%
,,,
LUD,m,0.00%,15.92%
LUD,matrix_dim,0.00%,26.59%
LUD,chunks_in_inter_row,0.00%,2.20%
LUD,offset,0.00%,2.37%
LUD,temp,0.01%,0.25%
LUD,i_global,0.17%,2.79%
LUD,j_global,0.17%,4.06%
LUD,i,3.48%,2.79%
LUD,temp_left,3.52%,2.96%
LUD,temp_top,3.52%,5.84%
LUD,k,5.24%,1.10%
LUD,a,39.59%,27.52%
LUD,sum,44.31%,5.59%
